Case,Restaurant,Price,Food,Decor,Service,Geo
82,Paola's,46,23,19,21,East
83,Rughetta,38,23,19,24,East
84,Triangolo,33,20,16,19,East
85,Cafe Trevi,46,23,19,23,East
86,Divino Ristorante,37,19,15,19,East
87,Elio's,50,23,18,20,East
88,Erminia,54,25,24,24,East
89,Firenze,41,21,19,21,East
90,Luca,37,21,15,18,East
91,Nicola's,50,22,18,21,East
92,Primavera,60,24,22,23,East
93,Sirabella's,36,23,16,22,East
94,Sistina,54,23,19,21,East
95,Spada,39,19,18,18,East
96,Trattoria Rustica,35,20,16,18,East
97,Carino Ristorante,30,19,13,20,East
98,Quattro Gatti,41,19,17,19,East
99,Tony's Di Napoli,30,19,14,17,East
100,Ecco-la,25,18,15,15,East
101,Joanna's,43,19,18,21,East
102,Vico,45,20,15,17,East
103,Rao's,57,23,16,20,East
104,Basta Pasta,32,18,15,17,West
105,Campagna,51,24,21,21,East
106,Follonico,48,23,20,21,East
107,Ribollita,36,18,16,16,East
108,Bondí Ristorante´,37,20,17,19,West
109,Casa Mia,31,20,19,19,East
110,Novitá,47,23,19,21,East
111,Paul & Jimmy's,40,19,16,19,East
112,Sal Anthony's,37,18,16,18,East
113,Enoteca i Trulli,43,23,20,21,East
114,I Trulli,51,23,22,21,East
115,Lamarca,19,18,9,15,East
116,Supreme Macaroni Co.,28,17,14,17,West
117,Veronica,22,21,6,14,West
118,Arno,41,19,17,19,West
119,Amarone,33,19,15,18,West
120,Cara Mia,29,19,15,17,West
121,Casa Di Meglio,33,19,17,18,West
122,La Rivista,45,19,16,18,West
123,Trattoria Dopo Teatro,38,17,16,17,West
124,Barbetta,52,20,23,20,West
125,Becco,38,20,17,19,West
126,Coco Pazzo Teatro,47,18,18,17,West
127,Orso,46,22,18,20,West
128,Osteria al Doge,40,20,17,18,West
129,Pietrasanta,32,20,15,19,West
130,Rainbow Grill,65,19,23,18,West
131,Torre di Pisa,47,19,21,17,West
132,San Domenico,65,23,22,22,West
133,Trionfo,45,20,17,21,West
134,ViceVersa,46,22,22,20,West
135,Artusi,44,20,19,20,West
136,Ciao Europa,40,19,19,18,West
137,Limoncello,46,19,18,20,West
138,Puttanesca,32,19,15,17,West
139,Rino Trattoria,23,20,14,16,West
140,Sette MoMA,42,18,21,17,West
141,Trattoria Del Sogno,29,21,18,19,West
142,Castellano,49,21,18,20,West
143,Circo Osteria del,53,22,24,21,West
144,Giovanni,45,22,19,21,West
145,Palio,63,22,25,22,West
146,Remi,52,23,23,21,West
147,Tuscan Square,40,19,20,17,West
148,Vago Ristorante,45,22,21,23,West
149,Bello,38,21,17,20,West
150,Caffe Cielo,38,18,17,18,West
151,Da Tommaso,42,21,16,20,West
152,Il Tinello,57,23,19,23,West
153,Nocello,39,21,19,20,West
154,Tino's,43,20,18,18,West
155,Mangia e Bevi,29,17,14,16,West
156,Patsy's,42,20,16,19,West
157,Gabriel's,50,22,19,21,West
158,Pappardella,34,18,16,17,West
159,Ernie's,31,16,15,16,West
160,Pomodoro Rosso,31,20,17,19,West
161,Scaletta,46,21,19,22,West
162,"La Grolla, Ristorante",42,21,15,19,West
163,"Sambuca, Trattoria",31,19,16,18,West
164,Baci,31,17,15,16,West
165,Puccini,26,20,16,17,West
166,Bella Luna,31,18,16,17,West
167,Métisse,38,22,17,21,West
168,Gennaro,34,24,10,16,West
